Questions,Answer
Which holiday calendar is applicable for associates working at client site?,Client holiday calendar will be application for associates working at client site. 
What do I do if Abzooba has a holiday but the client does not?,"Associate at client site needs to work on the day when client do not have a holiday. If the associate is an Abzooba employee, he/she can work with their Abzooba manager to get a comp day off."
How many holidays are available for associates in India?,There are total 12 holidays and the holiday calendar can be accessed from <url>
How many Floating holidays are available for associates?,Associates are eligible for 2 Floating Holidays designated for respective locations. 
What is the process to avail Floating Holiday?,"To avail, associates should apply on the HRMS system with prior approval from the Project Manager and Mentor marking RMG."
What is the leave calendar year followed in Abzooba?,Leave Calendar: 1 January to 31 December
How many days prior notice is required to apply for planned leaves?,"For all leaves planned in advance, 30 days prior notice to Project Managers and Mentors should be given marking respective RMG SPOC. "
How many Privilege Leave/ PL an associates are eligible during the year?,"15, for new joiners' leaves are allotted on pro rata basis considering date of joining.  7 of such leaves are carried forward to the next year, or on prorate basis considering date of joining."
How many Casual Leave/ CL an associates are eligible during the year?,"10, for new joiners' leaves are allotted on pro rata basis considering date of joining. Such leaves are not carried forward to the next year."
How many Sick Leave/ SL are associates eligible during the year?,"3, such leaves are carried forward and maximum accumulation is 56"
How many leaves are Abzooba consultants eligible for?,Abzooba's consultants on direct contract are eligible for 1 day leave in a month/ 12 days leave in a year on pro rata basis depending on date of joining. Such leaves can't be carried forward to the next year.
How many maximum number of continuous leaves is a person eligible for?,15 days of continuous leaves which should not include more than 3 continuous days of casual leave
How many maximum number of continuous Casual Leave/ CL is a person eligible for?,Total 3 days of CL leave in continuation are permissible.
How many Privilege leave balance for the year 2020 can be carried forward to the next year? ,All PL balance can be carried forward till September 2021
Till when can the leave balance be carried forward?,All PL balance can be carried forward till September 2021
Is advance leave applicable? ,"Associates are eligible for advance Privilege Leave based on the following conditions:
1. Marriage of the associate applying for leave
2. Serious illness of the associate (supported with Doctor’s prescription / certificate)
3.Death in the immediate family
4. Major natural calamity leading to loss of property
"
When can associates be eligible for advance leave?,"Associates are eligible for advance Privilege Leave based on the following conditions:
1. Marriage of the associate applying for leave
2. Serious illness of the associate (supported with Doctor’s prescription / certificate)
3.Death in the immediate family
4. Major natural calamity leading to loss of property
"
Where do I fill in my Abzooba timesheets?,"The person needs to be referred to the appropriate RMG coordinator who will generate the needed access to our internal timesheets:
Sandeep Shelke: BD&C
Mona Tandon: AA
"
Where do I fill in my client timesheet?,"The person needs to be referred to the appropriate RMG coordinator who will generate the needed access to our internal timesheets:
Sandeep Shelke: BD&C
Mona Tandon: AA
"
I input the wrong hours and submitted my time. How do I correct it?,"Please email the following teams to correct this error:
Human_resources@abzooba.com
Joanita.Sontakke@abzooba.com
"
What is Abzooba's standard working hours? ,It is 9.30 A.M. to 6.00 P.M. From Monday to Friday. It may change basis business / project need. 
Whether resigned associate is eligible to avail leaves during the notice period?,Leave is not encouraged on notice period and Abzooba reserves the right to deduct salary or extend notice for absence from office in lieu of the leaves taken during the notice period.
When Resigned associate will get formal notification on his / her LWD?,"In case the resignation decision stands confirmed, Leadership conveys the relieving date or Last Working Day to RMG and HR at the earliest. On the receipt of formal approval from Leadership HR Ops communicate LWD to resigned associate. (preferably within 30 days from the date of resignation)"
By when resigned associate should complete project hand over / knowledge transfer?,"Ideally, associate is expected to complete his / her project hand over / knowledge transfer at least one day prior to actual LWD. "
